year,month,day,hour,weekday,USD_buy,USD_sell,HKD_buy,HKD_sell,GBP_buy,GBP_sell,AUD_buy,AUD_sell,CAD_buy,CAD_sell,SGD_buy,SGD_sell,CHF_buy,CHF_sell,JPY_buy,JPY_sell,ZAR_buy,ZAR_sell,SEK_buy,SEK_sell,NZD_buy,NZD_sell,THB_buy,THB_sell,PHP_buy,PHP_sell,IDR_buy,IDR_sell,EUR_buy,EUR_sell,KRW_buy,KRW_sell,VND_buy,VND_sell,MYR_buy,MYR_sell,CNY_buy,CNY_sell
2023,5,1,1,0,30.34,31.01,30.34,31.01,3.761,3.965,3.761,3.965,37.42,39.54,37.42,39.54,19.96,20.74,19.96,20.74,22.19,23.1,22.19,23.1,22.45,23.36,22.45,23.36,33.55,34.75,33.55,34.75,0.2158,0.2286,0.2158,0.2286,0,0,0,0,2.61,3.13
2023,5,1,2,0,30.34,31.01,30.34,31.01,3.76,3.964,3.76,3.964,37.42,39.54,37.42,39.54,19.96,20.74,19.96,20.74,22.19,23.1,22.19,23.1,22.44,23.35,22.44,23.35,33.54,34.74,33.54,34.74,0.2156,0.2284,0.2156,0.2284,0,0,0,0,2.61,3.13
2023,5,1,3,0,30.34,31.01,30.34,31.01,3.76,3.964,3.76,3.964,37.42,39.54,37.42,39.54,19.98,20.76,19.98,20.76,22.19,23.1,22.19,23.1,22.44,23.35,22.44,23.35,33.56,34.76,33.56,34.76,0.2154,0.2282,0.2154,0.2282,0,0,0,0,2.61,3.13
2023,5,1,4,0,30.34,31.01,30.34,31.01,3.76,3.964,3.76,3.964,37.42,39.54,37.42,39.54,20,20.78,20,20.78,22.19,23.1,22.19,23.1,22.44,23.35,22.44,23.35,33.56,34.76,33.56,34.76,0.2155,0.2283,0.2155,0.2283,0,0,0,0,2.61,3.13
2023,5,1,5,0,30.34,31.01,30.34,31.01,3.76,3.964,3.76,3.964,37.42,39.54,37.42,39.54,20.02,20.8,20.02,20.8,22.19,23.1,22.19,23.1,22.46,23.37,22.46,23.37,33.56,34.76,33.56,34.76,0.2155,0.2283,0.2155,0.2283,0,0,0,0,2.61,3.13
2023,5,1,6,0,30.34,31.01,30.34,31.01,3.76,3.964,3.76,3.964,37.42,39.54,37.42,39.54,20.02,20.8,20.02,20.8,22.19,23.1,22.19,23.1,22.46,23.37,22.46,23.37,33.56,34.76,33.56,34.76,0.2155,0.2283,0.2155,0.2283,0,0,0,0,2.61,3.13
2023,5,1,7,0,30.34,31.01,30.34,31.01,3.76,3.964,3.76,3.964,37.4,39.52,37.4,39.52,20.02,20.8,20.02,20.8,22.19,23.1,22.19,23.1,22.47,23.38,22.47,23.38,33.56,34.76,33.56,34.76,0.2154,0.2282,0.2154,0.2282,0,0,0,0,2.61,3.13
2023,5,1,8,0,30.34,31.01,30.34,31.01,3.76,3.964,3.76,3.964,37.36,39.48,37.36,39.48,20.02,20.8,20.02,20.8,22.19,23.1,22.19,23.1,22.48,23.39,22.48,23.39,33.59,34.79,33.59,34.79,0.2156,0.2284,0.2156,0.2284,0,0,0,0,2.61,3.13
2023,5,1,9,0,30.34,31.01,30.34,31.01,3.76,3.964,3.76,3.964,37.29,39.41,37.29,39.41,20.02,20.8,20.02,20.8,22.17,23.08,22.17,23.08,22.46,23.37,22.46,23.37,33.56,34.76,33.56,34.76,0.2156,0.2284,0.2156,0.2284,0,0,0,0,2.6,3.12
2023,5,1,10,0,30.34,31.01,30.34,31.01,3.76,3.964,3.76,3.964,37.32,39.44,37.32,39.44,20.02,20.8,20.02,20.8,22.16,23.07,22.16,23.07,22.48,23.39,22.48,23.39,33.62,34.82,33.62,34.82,0.2157,0.2285,0.2157,0.2285,0,0,0,0,2.6,3.12
2023,5,1,11,0,30.34,31.01,30.34,31.01,3.76,3.964,3.76,3.964,37.32,39.44,37.32,39.44,20.02,20.8,20.02,20.8,22.16,23.07,22.16,23.07,22.48,23.39,22.48,23.39,33.62,34.82,33.62,34.82,0.2158,0.2286,0.2158,0.2286,0,0,0,0,2.6,3.12
2023,5,1,12,0,30.34,31.01,30.34,31.01,3.76,3.964,3.76,3.964,37.31,39.43,37.31,39.43,20.02,20.8,20.02,20.8,22.16,23.07,22.16,23.07,22.48,23.39,22.48,23.39,33.62,34.82,33.62,34.82,0.2155,0.2283,0.2155,0.2283,0,0,0,0,2.6,3.12
